rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,高階PCB,施羅德台灣樂活中小基金-A類型,ACES10,,SOXX,否,1.32,-8.02,-1.29,71.09,184.17,-228.59,83.14,101.03,0.830,-24.15,9.0,3.608,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,高階PCB,統一中小基金,ACPS06-5806,,SOXX,否,0.40,-9.08,-6.79,62.79,172.42,,69.43,102.99,0.900,-27.97,,3.422,買進,沿用上次資料（2026-09-01）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-09-01
3,高階PCB,野村鴻運基金,AC0001,,SOXX,否,3.69,-3.07,1.00,56.02,168.61,-159.68,69.53,99.08,1.030,-27.67,11.0,3.305,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
4,高階PCB,安聯台灣科技基金,ACDD04-8602,,SOXX,否,1.75,-6.98,-10.67,47.05,165.90,-152.56,60.07,105.83,0.950,-32.10,,3.217,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
5,高階PCB,街口中小型基金,ACCH03-9002,,SOXX,否,2.96,-7.18,-10.10,38.44,152.61,-130.14,54.30,98.31,0.940,-35.29,,2.905,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
6,高階PCB,街口台灣基金,ACCH01,,SOXX,否,2.74,-7.25,-12.16,35.87,145.93,-125.11,50.64,95.29,0.900,-37.12,,2.765,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
7,高階PCB,元大二○○一基金,AC0017-6206,,SOXX,否,1.40,-4.16,-8.34,36.68,141.17,-130.88,53.48,87.69,0.900,-28.79,,2.691,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
8,高階PCB,統一奔騰基金,ACPS10,,SOXX,否,2.53,-5.88,-5.77,45.05,119.69,-153.31,48.93,70.76,0.850,-27.84,,2.386,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
9,高階PCB,第一金電子基金,ACNC16,,SOXX,否,2.39,-9.05,-9.46,37.69,116.56,-138.58,43.83,72.73,0.790,-28.32,,2.286,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
10,高階PCB,富邦台灣心基金,ACCT01,,SOXX,否,3.43,-3.31,-9.02,37.88,94.12,-142.33,40.25,53.87,0.690,-34.58,,1.824,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
