rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,日本,瀚亞投資-日本動力股票基金,IOFA8-2824,,EWJ,,0.45,-2.48,4.72,22.99,50.56,0.21,49.99,0.57,0.720,-10.85,26.0,0.831,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,日本,安本日本永續股票基金,ANZH4-1327,,EWJ,,0.58,-1.29,4.06,13.94,41.96,-0.77,49.99,-8.03,1.220,-13.16,21.0,0.657,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,日本,M&G日本基金,MMG07-2907,,EWJ,,0.58,1.66,6.47,16.07,33.35,0.55,49.99,-16.64,1.750,-10.30,22.0,0.626,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
4,日本,法巴日本股票基金,PAZ11-4402,,EWJ,,1.37,-1.49,1.50,17.30,38.53,0.79,49.99,-11.46,0.800,-8.68,5.0,0.560,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
5,日本,利安日本增長基金,LIC39-4708,,EWJ,,0.51,-0.67,4.96,10.96,32.94,-1.99,49.99,-17.05,1.310,-11.30,30.0,0.474,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
6,日本,法巴日本小型股票基金,FLFE9-4448,,EWJ,,1.09,-4.37,-1.87,8.40,37.46,1.31,49.99,-12.53,0.770,-11.00,21.0,0.432,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
7,日本,景順日本股票優勢基金,CTZR2-0178,,EWJ,,0.92,-2.64,4.98,13.63,31.67,10.49,49.99,-18.32,1.080,-10.87,23.0,0.431,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
8,日本,施羅德日本優勢基金,PYZL2-15D4,,EWJ,,0.47,-3.75,1.47,10.23,33.44,0.41,49.99,-16.55,0.760,-10.84,26.0,0.369,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
9,日本,安本日本小型公司永續股票基金,ANZH3-1326,,EWJ,,0.57,-2.23,1.39,8.07,32.18,-5.01,49.99,-17.81,0.910,-11.51,29.0,0.349,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
10,日本,富達日本價值基金,FTZA66-05G5,,EWJ,,1.55,-1.23,-1.78,9.05,34.11,-14.97,49.99,-15.88,0.710,-14.40,,0.343,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
