rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,光通訊,統一中小基金,ACPS06-5806,,IYZ,否,0.40,-6.17,-0.39,68.00,175.26,,75.19,100.07,0.930,-27.97,,3.479,買進,沿用上次資料（2026-09-01）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-09-01
2,光通訊,野村鴻運基金,AC0001,,IYZ,否,3.69,-0.33,7.51,60.43,172.06,-159.68,74.82,97.24,0.970,-27.67,11.0,3.353,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
3,光通訊,安聯台灣科技基金,ACDD04-8602,,IYZ,否,1.75,-4.81,-4.90,50.48,166.09,-152.56,64.13,101.96,0.840,-32.10,,3.193,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
4,光通訊,街口中小型基金,ACCH03-9002,,IYZ,否,2.96,-4.14,-3.33,42.98,156.21,-130.14,59.73,96.48,0.970,-35.29,,2.974,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
5,光通訊,元大二○○一基金,AC0017-6206,,IYZ,否,1.40,-1.92,-3.69,39.88,142.92,-130.88,57.43,85.49,0.790,-28.79,,2.697,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
6,光通訊,統一奔騰基金,ACPS10,,IYZ,否,2.53,-3.57,-0.52,48.61,121.46,-153.31,52.83,68.63,0.790,-27.84,,2.406,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
7,光通訊,第一金電子基金,ACNC16-7905,,IYZ,否,2.39,-6.86,-4.58,41.01,118.22,-138.58,47.69,70.53,0.740,-28.32,,2.304,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
8,光通訊,合庫台灣基金-A不配息(台幣),ACCB01-9610,,IYZ,否,1.24,-5.04,-2.08,39.43,108.20,-129.84,44.64,63.56,0.770,-27.84,,2.127,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
9,光通訊,富邦台灣心基金,ACCT01-5905,,IYZ,否,3.43,-1.06,-4.01,41.08,95.52,-142.33,43.83,51.69,0.640,-34.58,,1.838,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
10,光通訊,群益店頭市場基金,AC0028,,IYZ,否,2.39,-3.14,-4.12,33.35,78.97,-119.47,34.38,44.59,0.560,-34.81,,1.507,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
