rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,量子電腦,安聯台灣科技基金,ACDD04-8602,,QTUM,否,1.75,-4.81,-4.90,50.48,166.09,-152.56,64.13,101.96,0.840,-32.10,,3.193,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,量子電腦,國泰臺韓科技基金,ACTR37,,QTUM,是（半年配）,1.61,-1.31,-2.66,57.79,162.43,-92.71,66.13,96.30,0.860,-31.35,,3.180,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
3,量子電腦,統一奔騰基金,ACPS10,,QTUM,否,2.53,-3.57,-0.52,48.61,121.46,-153.31,52.83,68.63,0.790,-27.84,,2.406,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
4,量子電腦,富邦台灣科技指數基金(本基金之配息來源可能為收益平準金),AC0052,,QTUM,是,1.50,-0.29,3.68,40.31,100.40,-53.71,42.66,57.74,1.030,-17.13,,2.105,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
5,量子電腦,元大台灣電子科技基金,AC0053,,QTUM,否,1.73,-1.23,1.80,40.62,98.29,-68.86,42.25,56.04,0.980,-18.95,,2.051,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
6,量子電腦,摩根台灣增長基金,ACJF51,,QTUM,否,0.83,0.97,6.66,57.16,92.19,-81.42,50.75,41.44,0.870,-17.90,,1.992,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
7,量子電腦,Defiance Quantum ETF,,QTUM,QTUM,否,1.26,5.67,-6.04,28.22,59.73,-86.47,59.73,0.00,1.579,-25.39,29.0,1.068,觀察,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
8,量子電腦,聯博-國際科技基金I級別美元,ALZM9,,QTUM,否,1.17,-0.62,-5.44,28.60,43.36,-60.63,28.31,15.05,0.450,-20.93,,0.855,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
9,量子電腦,WisdomTree Quantum Computing UCITS ETF,,WQTM.L,QTUM,否,2.11,6.97,-16.05,26.10,51.88,-109.35,59.58,-7.70,1.238,-27.39,,0.813,觀察,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
10,量子電腦,景順全球科技基金-累積型(台幣),ACCS131,,QTUM,否,-1.32,-2.30,-0.75,19.10,34.05,-47.62,13.70,20.35,0.450,-12.89,,0.761,買進,沿用上次資料（2026-08-24）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-24
11,量子電腦,貝萊德世界科技基金 A2 美元,SHZ71-2456,,QTUM,否,1.46,1.64,0.89,31.94,32.47,-65.33,28.31,4.16,0.340,-20.71,,0.650,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ SHZ71-2456／歷史淨值重算,2026-08-25
12,量子電腦,富蘭克林坦伯頓科技基金美元A(acc),FLZ80,,QTUM,否,1.32,-0.55,-0.76,26.32,25.44,-44.96,28.31,-2.87,0.330,-17.73,,0.466,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
13,量子電腦,iShares Quantum Computing UCITS ETF,,QANT.L,QTUM,否,0.61,3.81,-16.34,27.87,9.73,-114.50,28.59,-18.85,0.562,-22.95,,0.185,觀察,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
14,量子電腦,Defiance Pure Quantum Computing ETF,,QTUP,QTUM,否,2.77,9.54,-5.98,-5.98,-5.98,-10.26,-3.69,-2.29,0.018,-40.33,,-0.341,賣出,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
15,量子電腦,VanEck Quantum ETF,,QNTM.AX,QTUM,否,-0.66,-5.00,-5.00,-5.00,-5.00,-8.80,-0.80,-4.20,,-7.62,,,待資料,沿用上次資料（2026-08-26）,Yahoo Finance,2026-08-26
