flow_category,template_category,net_flow_eur_m,direction,data_date,source_url
Global large cap blend equity,其他,10108.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
US large cap blend equity,美國,8584.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Global emerging markets equity,新興市場,3574.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Japan large cap blend equity,日本,1844.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Global equity income,其他,1571.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
US large cap growth equity,美國,1414.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Sector equity financial services,金融,1374.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Europe large cap blend equity,歐洲,1148.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Sector equity technology,科技主題,1120.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Other equity,其他,873.0,流入,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
US large cap value equity,其他,-117.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Brazil equity,巴西,-149.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Asia ex-Japan equity,東協,-197.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Latin America equity,其他,-213.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Germany equity,其他,-248.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
China equity,中國,-382.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
US small cap equity,其他,-395.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
China equity – A shares,中國,-422.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Europe ex-UK equity,其他,-442.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
Global large cap value equity,其他,-539.0,流出,31 July 2026,https://moneyweek.com/investments/etfs/etf-sectors-fund-flows
