date,nav
20250901,9.6738
20250902,9.6479
20250903,9.6232
20250904,9.5602
20250905,9.6712
20250908,9.6699
20250909,9.65
20250910,9.6593
20250911,9.7617
20250912,9.7182
20250915,9.7205
20250916,9.6897
20250917,9.7626
20250918,9.6768
20250919,9.74
20250922,9.7346
20250923,9.7518
20250924,9.8215
20250925,9.8308
20250926,9.8074
20250930,9.9568
20251009,10.0312
20251013,9.8948
20251014,9.8185
20251015,9.947
20251016,9.9984
20251017,9.809
20251020,9.8989
20251021,9.9981
20251022,9.9465
20251023,10.0171
20251027,10.1555
20251028,10.0778
20251030,10.117
20251031,10.0163
20251103,10.0738
20251104,10.0507
20251105,10.1011
20251106,10.2072
20251107,10.1755
20251110,10.1886
20251111,10.1768
20251112,10.2139
20251113,10.2974
20251114,10.1924
20251117,10.1429
20251118,10.0749
20251119,10.0921
20251120,10.0836
20251121,9.9451
20251124,9.9811
20251125,10.0618
20251126,10.061
20251127,10.0597
20251128,10.0866
20251201,10.1413
20251202,10.155
20251203,10.1016
20251204,10.1219
20251205,10.1733
20251208,10.0966
20251209,10.0259
20251210,10.0014
20251211,9.9944
20251212,10.076
20251215,10.0826
20251216,10.0255
20251217,10.1088
20251218,10.094
20251219,10.1167
20251222,10.1416
20251223,10.1613
20251224,10.159
20251229,10.1469
20251230,10.1627
20251231,10.1338
20260105,10.3113
20260106,10.4184
20260107,10.3304
20260108,10.2454
20260109,10.2964
20260112,10.3211
20260113,10.3424
20260114,10.3084
20260115,10.3114
20260116,10.3041
20260119,10.3429
20260120,10.3574
20260121,10.373
20260122,10.3688
20260123,10.3625
20260126,10.3592
20260127,10.3706
20260128,10.3988
20260129,10.4589
20260130,10.3803
20260202,10.273
20260203,10.3815
20260204,10.4715
20260205,10.4614
20260206,10.4344
20260209,10.4956
20260210,10.5425
20260211,10.5559
20260212,10.5695
20260213,10.4433
20260224,10.5174
20260225,10.5297
20260226,10.445
20260302,10.384
20260303,10.3095
20260304,10.2533
20260305,10.3084
20260306,10.3822
20260309,10.2884
20260310,10.4241
20260311,10.4212
20260312,10.3609
20260313,10.2993
20260316,10.3228
20260317,10.325
20260318,10.3243
20260319,10.1605
20260320,10.1349
20260323,9.9256
20260324,10.0332
20260325,10.1039
20260326,9.9801
20260327,10.0409
20260330,10.0149
20260331,9.9902
20260401,10.159
20260402,10.0937
20260408,10.1969
20260409,10.1607
20260410,10.2573
20260413,10.257
20260414,10.3174
20260415,10.3003
20260416,10.3754
20260417,10.3278
20260420,10.3582
20260421,10.4204
20260422,10.4115
20260423,10.401
20260424,10.4136
20260427,10.3793
20260428,10.3644
20260429,10.4579
20260430,10.4036
20260506,10.5068
20260507,10.4741
20260508,10.4182
20260511,10.4886
20260512,10.4755
20260513,10.5257
20260514,10.4041
20260515,10.302
20260518,10.2123
20260519,10.2424
20260520,10.2238
20260521,10.1319
20260522,10.2003
20260526,10.2399
20260527,10.2346
20260528,10.1943
20260529,10.253
20260601,10.2165
20260602,10.332
20260603,10.2327
20260604,10.1776
20260605,10.077
20260608,9.9595
20260609,10.0563
20260610,9.9723
20260611,9.9128
20260612,10.0568
20260615,10.1234
20260616,10.0371
20260617,10.0212
20260618,9.922
20260622,10.0137
20260623,9.8311
20260624,9.8722
20260625,9.8556
20260626,9.7032
20260629,9.8261
20260630,9.8245
20260702,9.7319
20260703,9.8587
20260706,9.9291
20260707,9.8448
20260708,9.8089
20260709,9.8719
20260713,9.7675
20260714,9.8478
20260715,9.9342
20260716,9.9309
20260717,9.8044
20260720,9.9855
20260721,10.0572
20260722,10.039
20260723,10.1204
20260724,10.0546
20260727,10.1193
20260728,10.0967
20260729,10.1961
20260730,10.2885
20260731,10.246
20260803,10.2514
20260804,10.2139
20260805,10.2367
20260806,10.1483
20260807,10.1363
20260810,10.1919
20260811,10.1369
20260812,10.1068
20260813,10.0603
20260814,9.9886
20260817,10.0103
20260818,10.0247
20260819,9.9641
20260820,9.9781
20260821,10.0016
20260824,9.9454
20260825,9.9691
20260826,9.999
20260827,9.9307
20260828,9.9002
20260831,9.9346
