date,nav
20250901,31.98
20250902,32.08
20250903,32.39
20250904,32.16
20250905,32.5
20250908,32.67
20250909,32.88
20250910,32.66
20250911,32.89
20250912,33.0
20250915,32.92
20250916,33.07
20250917,33.02
20250918,32.76
20250919,32.68
20250922,32.57
20250923,32.34
20250924,32.32
20250925,32.53
20250926,32.31
20250930,32.06
20251001,32.1
20251002,32.39
20251003,32.55
20251007,32.66
20251008,32.68
20251009,32.95
20251014,31.98
20251015,32.61
20251016,32.67
20251017,32.05
20251020,32.36
20251021,32.49
20251022,32.78
20251027,33.24
20251028,33.12
20251029,33.29
20251030,33.23
20251031,33.23
20251103,33.15
20251104,32.94
20251105,32.96
20251106,33.51
20251107,33.45
20251110,33.47
20251111,33.39
20251112,32.94
20251113,33.22
20251114,32.79
20251117,33.11
20251118,33.04
20251119,33.02
20251120,33.31
20251121,32.92
20251124,32.84
20251125,33.42
20251126,33.25
20251127,33.04
20251128,33.3
20251201,33.95
20251202,33.97
20251203,33.97
20251204,33.93
20251208,33.81
20251209,34.05
20251211,33.92
20251212,34.05
20251215,34.9
20251216,34.69
20251217,34.69
20251218,34.75
20251219,34.81
20251222,35.33
20251223,35.53
20251224,35.66
20251226,35.34
20251229,34.65
20251230,34.75
20260105,35.47
20260106,35.33
20260107,35.21
20260108,34.74
20260109,34.88
20260112,34.86
20260113,34.62
20260114,34.92
20260115,35.21
20260116,35.47
20260119,35.9
20260120,36.49
20260121,36.74
20260122,36.15
20260123,36.55
20260126,36.34
20260127,36.98
20260128,37.01
20260129,36.61
20260130,36.16
20260202,36.36
20260203,36.68
20260204,37.19
20260205,37.19
20260206,37.69
20260209,39.21
20260210,39.71
20260211,39.81
20260223,41.7
20260224,42.13
20260225,42.5
20260226,42.79
20260302,41.17
20260304,39.44
20260305,40.16
20260306,39.65
20260309,39.11
20260310,40.12
20260311,40.04
20260312,40.73
20260313,39.67
20260316,39.3
20260317,40.09
20260318,40.02
20260319,39.29
20260320,39.64
20260323,38.71
20260324,39.61
20260325,40.43
20260326,39.93
20260327,39.8
20260330,40.15
20260331,40.1
20260401,40.9
20260402,40.58
20260407,40.74
20260408,41.56
20260409,41.38
20260410,41.67
20260416,41.15
20260417,40.91
20260420,40.49
20260421,40.69
20260422,40.54
20260423,39.84
20260424,39.94
20260427,40.1
20260428,39.95
20260429,40.15
20260430,40.37
20260505,40.27
20260506,41.5
20260507,41.19
20260508,41.03
20260511,40.47
20260512,40.4
20260513,41.12
20260514,41.87
20260515,41.06
20260518,41.13
20260519,41.34
20260520,41.54
20260521,41.36
20260522,41.37
20260525,41.7
20260526,41.44
20260527,41.61
20260528,41.34
20260529,41.51
20260602,42.03
20260604,42.17
20260605,41.8
20260608,41.4
20260609,41.58
20260610,41.19
20260611,41.18
20260612,41.97
20260615,42.09
20260616,42.22
20260617,42.09
20260618,41.77
20260622,41.56
20260623,40.5
20260624,40.68
20260625,40.78
20260626,40.68
20260629,41.55
20260630,42.04
20260701,41.8
20260702,42.43
20260703,43.08
20260706,42.93
20260707,42.77
20260708,41.83
20260709,42.83
20260713,43.41
20260714,43.15
20260715,43.08
20260716,43.38
20260717,43.68
20260720,43.79
20260721,43.98
20260722,43.34
20260723,43.07
20260724,43.49
20260727,43.32
20260730,43.16
20260731,43.67
20260803,43.92
20260804,43.67
20260805,43.62
20260806,44.03
20260807,43.95
20260810,43.93
20260811,43.66
20260813,43.57
20260814,43.41
20260817,43.81
20260818,43.9
20260819,43.71
20260820,43.98
20260821,44.28
20260824,43.9
20260825,43.86
20260826,43.8
20260827,43.3
20260828,42.56
20260831,42.79
