date,nav
20250905,12.74
20250908,12.82
20250909,13.03
20250910,13.31
20250911,13.39
20250912,13.65
20250915,13.75
20250916,13.99
20250917,13.87
20250918,14.03
20250919,13.93
20250922,14.03
20250923,14.09
20250924,13.99
20250925,13.91
20250926,13.46
20250929,13.8
20250930,13.7
20251002,14.18
20251010,13.77
20251013,14.03
20251014,13.81
20251015,14.26
20251016,14.59
20251017,14.54
20251020,14.88
20251021,14.81
20251022,14.98
20251023,14.75
20251024,15.12
20251027,15.6
20251028,15.46
20251030,15.87
20251031,16.0
20251103,16.28
20251104,15.93
20251105,15.43
20251106,15.55
20251107,15.12
20251110,15.64
20251111,15.65
20251112,15.8
20251113,15.84
20251114,15.42
20251117,15.68
20251118,15.13
20251119,15.03
20251120,14.94
20251121,14.67
20251124,14.67
20251125,14.81
20251126,15.26
20251127,15.28
20251128,15.12
20251201,15.14
20251202,15.37
20251203,15.53
20251204,15.37
20251205,15.63
20251208,15.8
20251209,15.73
20251210,15.71
20251211,15.55
20251212,15.74
20251215,15.5
20251216,15.08
20251217,15.28
20251218,15.09
20251219,15.23
20251222,15.45
20251223,15.4
20251224,15.73
20251229,16.32
20251230,16.23
20260102,16.51
20260105,16.94
20260106,17.2
20260107,17.25
20260108,17.21
20260109,17.26
20260112,17.28
20260113,17.5
20260114,17.54
20260115,17.87
20260116,17.93
20260119,18.19
20260120,18.1
20260121,18.28
20260122,18.4
20260123,18.61
20260126,18.87
20260127,19.3
20260128,20.05
20260129,20.31
20260130,20.22
20260202,19.26
20260203,20.2
20260204,20.29
20260205,19.37
20260206,19.57
20260209,20.03
20260210,20.1
20260211,20.41
20260212,21.06
20260213,20.84
20260220,21.93
20260223,22.14
20260224,22.5
20260225,23.08
20260226,23.94
20260227,23.49
20260303,21.17
20260304,19.7
20260305,20.89
20260306,20.32
20260309,20.23
20260310,20.56
20260311,20.74
20260312,19.92
20260313,20.07
20260316,20.22
20260317,20.68
20260318,20.98
20260319,21.07
20260320,20.46
20260323,19.65
20260324,20.41
20260325,20.82
20260326,19.5
20260327,20.02
20260330,19.25
20260331,18.31
20260401,20.05
20260402,19.45
20260408,21.63
20260409,21.64
20260410,21.52
20260413,21.95
20260414,21.91
20260415,22.48
20260416,22.95
20260417,22.81
20260420,22.96
20260421,23.57
20260422,23.71
20260423,23.73
20260424,23.83
20260427,24.35
20260428,24.5
20260429,24.58
20260430,24.07
20260504,25.48
20260506,26.69
20260507,27.05
20260508,26.93
20260511,27.69
20260512,26.75
20260513,27.51
20260514,27.85
20260515,26.23
20260518,26.08
20260519,25.11
20260520,24.96
20260521,26.97
20260522,27.19
20260526,28.07
20260527,28.27
20260528,28.19
20260529,28.91
20260601,29.29
20260602,29.03
20260604,28.95
20260605,26.42
20260608,25.4
20260609,27.67
20260610,26.59
20260611,26.93
20260612,28.3
20260615,29.74
20260616,30.09
20260617,30.39
20260618,30.35
20260622,30.49
20260623,27.96
20260624,28.35
20260625,29.22
20260626,28.17
20260629,28.32
20260630,28.59
20260702,26.64
20260703,28.02
20260706,27.54
20260707,26.45
20260708,25.55
20260709,26.16
20260710,26.6
20260713,24.7
20260714,24.61
20260715,26.23
20260716,24.97
20260720,23.84
20260721,24.55
20260722,24.48
20260723,25.57
20260724,24.18
20260727,24.27
20260728,21.91
20260729,20.74
20260730,20.5
20260731,23.93
20260803,23.19
20260804,23.63
20260805,24.72
20260806,23.8
20260807,23.82
20260810,24.22
20260811,24.31
20260812,25.07
20260813,25.81
20260814,26.32
20260818,26.01
20260819,25.09
20260820,26.12
20260821,26.16
20260824,25.77
20260825,26.01
20260826,26.26
20260827,26.63
20260828,26.52
20260831,26.68
20260901,26.76
20260902,25.81
20260903,25.98
