date,nav
20250829,2.19
20250901,2.219
20250902,2.21
20250903,2.211
20250904,2.198
20250905,2.246
20250908,2.271
20250909,2.306
20250910,2.337
20250911,2.339
20250912,2.366
20250915,2.376
20250916,2.394
20250917,2.423
20250918,2.415
20250919,2.399
20250922,2.413
20250923,2.414
20250924,2.44
20250925,2.431
20250926,2.391
20250930,2.472
20251002,2.523
20251003,2.537
20251008,2.53
20251009,2.537
20251013,2.444
20251014,2.4
20251015,2.452
20251016,2.46
20251017,2.405
20251021,2.474
20251022,2.448
20251023,2.455
20251027,2.524
20251028,2.508
20251030,2.519
20251031,2.495
20251103,2.502
20251104,2.473
20251105,2.453
20251106,2.485
20251107,2.455
20251110,2.491
20251111,2.48
20251112,2.487
20251113,2.493
20251114,2.433
20251117,2.417
20251118,2.36
20251119,2.349
20251120,2.37
20251121,2.291
20251124,2.33
20251125,2.358
20251126,2.376
20251127,2.37
20251128,2.371
20251201,2.377
20251202,2.389
20251203,2.383
20251204,2.395
20251205,2.405
20251208,2.41
20251209,2.392
20251210,2.41
20251211,2.391
20251212,2.42
20251215,2.375
20251216,2.338
20251217,2.351
20251218,2.345
20251219,2.369
20251222,2.4
20251223,2.404
20251224,2.408
20251229,2.411
20251230,2.42
20251231,2.419
20260102,2.488
20260105,2.529
20260106,2.569
20260107,2.556
20260108,2.536
20260109,2.543
20260112,2.593
20260113,2.595
20260114,2.619
20260115,2.607
20260116,2.628
20260119,2.615
20260120,2.608
20260121,2.597
20260122,2.626
20260123,2.645
20260126,2.636
20260127,2.669
20260128,2.718
20260129,2.711
20260130,2.65
20260202,2.604
20260203,2.632
20260204,2.617
20260205,2.584
20260206,2.578
20260209,2.65
20260210,2.684
20260211,2.706
20260223,2.687
20260224,2.701
20260225,2.738
20260226,2.71
20260302,2.661
20260303,2.598
20260304,2.521
20260305,2.558
20260306,2.575
20260309,2.499
20260310,2.592
20260311,2.649
20260312,2.604
20260313,2.58
20260316,2.593
20260317,2.614
20260318,2.651
20260319,2.58
20260320,2.558
20260323,2.476
20260324,2.514
20260325,2.574
20260326,2.536
20260327,2.527
20260330,2.491
20260331,2.463
20260401,2.571
20260402,2.527
20260408,2.691
20260409,2.687
20260410,2.724
20260413,2.706
20260414,2.757
20260415,2.798
20260416,2.876
20260417,2.862
20260420,2.879
20260421,2.904
20260422,2.888
20260423,2.859
20260424,2.916
20260427,2.939
20260428,2.92
20260429,2.932
20260430,2.904
20260504,3.004
20260505,2.977
20260506,3.014
20260507,3.073
20260508,3.033
20260511,3.038
20260512,3.021
20260513,3.011
20260514,3.01
20260515,2.953
20260518,2.915
20260519,2.881
20260520,2.867
20260521,2.907
20260522,2.952
20260526,3.027
20260528,2.98
20260529,3.027
20260602,3.065
20260603,3.079
20260604,3.026
20260605,2.972
20260608,2.897
20260609,2.937
20260610,2.863
20260611,2.848
20260612,2.92
20260615,2.979
20260616,2.969
20260617,2.966
20260618,2.972
20260622,3.027
20260623,2.959
20260624,2.916
20260625,2.911
20260626,2.831
20260629,2.88
20260630,2.943
20260702,2.943
20260703,2.961
20260706,2.929
20260707,2.848
20260708,2.886
20260709,2.889
20260713,2.851
20260714,2.822
20260715,2.88
20260716,2.867
20260717,2.687
20260720,2.707
20260721,2.807
20260722,2.823
20260723,2.841
20260724,2.746
20260727,2.769
20260728,2.647
20260729,2.578
20260730,2.568
20260731,2.729
20260803,2.786
20260804,2.802
20260805,2.89
20260806,2.87
20260807,2.867
20260811,2.89
20260812,2.925
20260813,2.943
20260814,2.938
20260817,2.986
20260818,2.941
20260819,2.877
20260820,2.896
20260821,2.913
20260824,2.847
20260825,2.871
20260826,2.921
20260827,2.942
