date,nav
20250904,3.734
20250905,3.766
20250908,3.807
20250909,3.786
20250910,3.812
20250911,3.824
20250912,3.84
20250916,3.848
20250917,3.82
20250918,3.841
20250919,3.827
20250922,3.845
20250924,3.855
20250925,3.87
20250926,3.869
20250929,3.816
20250930,3.826
20251001,3.794
20251002,3.789
20251003,3.838
20251006,3.956
20251007,3.958
20251008,3.967
20251009,3.995
20251010,3.928
20251014,3.85
20251015,3.906
20251016,3.929
20251017,3.887
20251021,3.982
20251022,4.001
20251023,3.983
20251024,4.004
20251027,4.069
20251028,4.031
20251029,4.031
20251030,4.062
20251031,4.099
20251104,4.072
20251105,4.021
20251106,4.076
20251107,4.054
20251110,4.073
20251111,4.081
20251112,4.129
20251113,4.159
20251114,4.135
20251117,4.114
20251118,3.996
20251119,3.991
20251120,4.058
20251121,4.055
20251125,4.048
20251126,4.122
20251127,4.137
20251128,4.141
20251201,4.096
20251202,4.102
20251203,4.098
20251204,4.178
20251205,4.134
20251208,4.162
20251209,4.163
20251210,4.168
20251211,4.135
20251212,4.217
20251215,4.221
20251216,4.145
20251217,4.147
20251218,4.13
20251219,4.162
20251222,4.192
20251223,4.211
20251224,4.191
20251226,4.207
20251229,4.214
20251230,4.192
20260105,4.281
20260106,4.353
20260107,4.315
20260108,4.281
20260109,4.316
20260113,4.421
20260114,4.472
20260115,4.5
20260116,4.492
20260119,4.49
20260120,4.446
20260121,4.404
20260122,4.431
20260123,4.451
20260126,4.357
20260127,4.375
20260128,4.345
20260129,4.355
20260130,4.374
20260202,4.338
20260203,4.475
20260204,4.481
20260205,4.475
20260206,4.532
20260209,4.642
20260210,4.73
20260212,4.757
20260213,4.682
20260216,4.646
20260219,4.712
20260220,4.666
20260224,4.674
20260225,4.71
20260226,4.757
20260227,4.825
20260302,4.773
20260303,4.621
20260304,4.465
20260305,4.542
20260306,4.561
20260309,4.389
20260310,4.496
20260311,4.538
20260312,4.485
20260313,4.459
20260316,4.434
20260317,4.455
20260318,4.555
20260319,4.428
20260323,4.28
20260324,4.365
20260325,4.475
20260326,4.463
20260327,4.467
20260330,4.367
20260331,4.313
20260401,4.531
20260402,4.453
20260406,4.49
20260407,4.499
20260408,4.656
20260409,4.619
20260410,4.62
20260413,4.604
20260414,4.647
20260415,4.669
20260416,4.728
20260417,4.654
20260420,4.682
20260421,4.678
20260422,4.656
20260423,4.625
20260424,4.627
20260427,4.656
20260428,4.701
20260430,4.644
20260507,4.782
20260508,4.773
20260511,4.794
20260512,4.845
20260513,4.901
20260514,4.84
20260515,4.812
20260518,4.774
20260519,4.802
20260520,4.732
20260521,4.81
20260522,4.861
20260525,4.928
20260526,4.924
20260528,4.881
20260529,4.956
20260602,4.92
20260603,5.005
20260604,4.95
20260605,4.946
20260608,4.822
20260609,4.88
20260610,4.814
20260611,4.795
20260612,4.854
20260615,5.002
20260616,4.996
20260617,5.028
20260618,5.102
20260619,5.076
20260622,5.142
20260623,5.012
20260624,4.979
20260625,5.039
20260626,4.974
20260629,4.999
20260630,5.016
20260701,5.041
20260702,5.04
20260703,5.1
20260706,5.141
20260707,5.095
20260708,5.023
20260709,5.045
20260710,5.063
20260713,5.027
20260714,5.06
20260715,5.12
20260716,5.048
20260717,4.909
20260721,5.027
20260722,5.048
20260723,5.077
20260724,5.023
20260727,5.078
20260728,4.953
20260729,4.957
20260730,4.938
20260731,5.013
20260803,4.959
20260804,4.969
20260805,5.074
20260806,5.073
20260807,5.095
20260812,5.181
20260813,5.228
20260814,5.252
20260817,5.246
20260818,5.185
20260819,5.019
20260820,5.076
20260821,5.079
20260824,5.087
20260825,5.113
20260826,5.134
20260827,5.143
20260828,5.179
20260831,5.191
20260901,5.215
20260902,5.091
20260903,5.113
