kind,name,weight,data_date
industry,半導體業,67.76,2026/07/31
industry,電子零組件業,11.52,2026/07/31
industry,現金,5.93,2026/07/31
industry,電腦及週邊設備業,5.82,2026/07/31
industry,其他電子業,4.68,2026/07/31
industry,通信網路業,2.32,2026/07/31
industry,光電業,1.16,2026/07/31
industry,電子通路業,0.76,2026/07/31
industry,資訊服務業,0.05,2026/07/31
holding,台積電,52.5,2026/07/31
holding,聯發科,4.84,2026/07/31
holding,台達電,3.64,2026/07/31
holding,鴻海,2.54,2026/07/31
holding,日月光投控,2.18,2026/07/31
holding,台光電,1.46,2026/07/31
holding,聯電,1.34,2026/07/31
holding,欣興,1.09,2026/07/31
holding,智邦,1.06,2026/07/31
holding,鴻勁,0.98,2026/07/31
