kind,name,weight,data_date
industry,金融,23.11,2026/07/31
industry,資本設備,20.47,2026/07/31
industry,醫藥,13.04,2026/07/31
industry,耐久財消費,11.96,2026/07/31
industry,民生消費,8.5,2026/07/31
industry,科技,6.45,2026/07/31
industry,原物料,5.29,2026/07/31
industry,公用事業,3.02,2026/07/31
industry,房地產,1.75,2026/07/31
holding,TVS汽車有限公司,3.99,2026/07/31
holding,FEDERAL BANK LTD,3.78,2026/07/31
holding,BHARAT FORGE LTD,3.74,2026/07/31
holding,Aditya Birla資本有限公司,3.14,2026/07/31
holding,TITAN CO LTD,3.06,2026/07/31
holding,RADICO KHAITAN LTD,3.05,2026/07/31
holding,TORRENT PHARMACEUTICALS LTD,2.95,2026/07/31
holding,馬辛達國際科技有限公司,2.81,2026/07/31
holding,Anthem Biosciences Ltd,2.69,2026/07/31
holding,勞勒斯實驗室有限公司,2.55,2026/07/31
