kind,name,weight,data_date
industry,半導體業,37.44,2026/07/31
industry,電子零組件業,30.13,2026/07/31
industry,現金,13.96,2026/07/31
industry,電腦及週邊設備業,4.21,2026/07/31
industry,金融保險,4.2,2026/07/31
industry,光電業,2.92,2026/07/31
industry,塑膠工業,1.85,2026/07/31
industry,其他電子業,1.52,2026/07/31
industry,電機機械,1.39,2026/07/31
industry,生技醫療,0.17,2026/07/31
holding,台積電,7.74,2026/07/31
holding,旺矽,7.28,2026/07/31
holding,日月光投控,7.04,2026/07/31
holding,台燿,5.8,2026/07/31
holding,南亞科,5.23,2026/07/31
holding,台光電,4.82,2026/07/31
holding,南電,4.67,2026/07/31
holding,奇鋐,4.21,2026/07/31
holding,元大金,4.2,2026/07/31
holding,臻鼎-KY,3.9,2026/07/31
