kind,name,weight,data_date
industry,新興市場_強勢美元債,80.24,2026/07/31
industry,現金,13.53,2026/07/31
industry,浮動利率債,3.51,2026/07/31
industry,其他,2.67,2026/07/31
industry,美國_公債、投資等級債,0.04,2026/07/31
industry,新興市場_當地貨幣債,0.01,2026/07/31
holding,VanEck新興市場非投資等級債券ETF,17.61,2026/07/31
holding,安本基金-前緣市場債券基金A月配息美元(本基金主要係投資於非投資等級之高風險債券),13.78,2026/07/31
holding,瑞銀 (盧森堡) 新興市場債券基金 (美元) I-A1-累積(本,10.88,2026/07/31
holding,東方匯理基金新興市場債券I2美元(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),10.86,2026/07/31
holding,國泰新興非投資等級債券基金-A不配息(台幣)(基金之配息來源可能為本金),8.35,2026/07/31
holding,施羅德環球基金系列－新興市場收息債券(美元)C-累積(,5.92,2026/07/31
holding,高盛基金III - 高盛邊境市場債券基金X股美元(月配息)(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),4.72,2026/07/31
holding,PIMCO新興市場債券基金-機構H級類別(累積股份)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4.46,2026/07/31
holding,Invesco新興市場主權債券ETF,3.57,2026/07/31
holding,Invesco高級信貸ETF,3.51,2026/07/31
