kind,name,weight,data_date
industry,半導體業,46.52,2026/07/31
industry,電子零組件業,29.45,2026/07/31
industry,電腦及周邊設備業,7.1,2026/07/31
industry,現金,5.88,2026/07/31
industry,通信網路業,4.73,2026/07/31
industry,其他電子業,3.35,2026/07/31
industry,電機機械,2.97,2026/07/31
holding,旺矽,9.43,2026/07/31
holding,台光電,8.01,2026/07/31
holding,國巨*,7.23,2026/07/31
holding,南亞科,6.8,2026/07/31
holding,景碩,5.67,2026/07/31
holding,奇鋐,5.3,2026/07/31
holding,川湖,4.68,2026/07/31
holding,穎崴,4.62,2026/07/31
holding,聯發科,4.59,2026/07/31
holding,台積電,3.85,2026/07/31
