kind,name,weight,data_date
industry,半導體業,45.07,2026/07/31
industry,電子零組件業,29.69,2026/07/31
industry,現金,8.96,2026/07/31
industry,電腦及周邊設備業,8.08,2026/07/31
industry,通信網路業,3.21,2026/07/31
industry,其他電子業,2.58,2026/07/31
industry,電機機械,2.41,2026/07/31
holding,旺矽,9.72,2026/07/31
holding,台光電,8.74,2026/07/31
holding,國巨*,6.16,2026/07/31
holding,奇鋐,5.7,2026/07/31
holding,穎崴,5.0,2026/07/31
holding,川湖,4.82,2026/07/31
holding,聯發科,4.8,2026/07/31
holding,景碩,4.68,2026/07/31
holding,欣興,4.35,2026/07/31
holding,南亞科,3.98,2026/07/31
