kind,name,weight,data_date
industry,金融,40.6,2026/07/31
industry,能源,15.9,2026/07/31
industry,原物料,14.5,2026/07/31
industry,景氣循環性消費,8.9,2026/07/31
industry,工業,8.3,2026/07/31
industry,公用事業,5.5,2026/07/31
industry,民生必需品消費,3.6,2026/07/31
industry,現金及約當現金,2.7,2026/07/31
holding,CIA VALE DO RIO DOCE,9.73,2026/07/31
holding,ITAU UNIBANCO HLDG SA PREF SHS,9.34,2026/07/31
holding,NU HOLDINGS LTD/CAYMAN ISL-A,8.8,2026/07/31
holding,BANCO BRADESCO SA PREF SHS,8.8,2026/07/31
holding,PETROLEO BRASILEIRO SA PFD SHS,7.26,2026/07/31
holding,PETRO RIO SA,5.69,2026/07/31
holding,BANCO DO BRASIL SA,4.22,2026/07/31
holding,Localiza Rent a Car SA,3.85,2026/07/31
holding,B3 SA - Brasil Bolsa Balcao,3.31,2026/07/31
holding,Itausa SA Pref,3.27,2026/07/31
