kind,name,weight,data_date
industry,永續性能源消費,35.06,2026/07/31
industry,潔淨能源,11.74,2026/07/31
industry,永續環境,11.48,2026/07/31
industry,水資源供給,8.98,2026/07/31
industry,高效儲能,7.47,2026/07/31
industry,廢棄物處理,7.08,2026/07/31
industry,水質改善,6.36,2026/07/31
industry,流動資金,5.4,2026/07/31
industry,水循環效率系統,4.36,2026/07/31
industry,永續包裝,2.07,2026/07/31
holding,TAIWAN SEMICONDUCTOR,4.0,2026/07/31
holding,ECOLAB INC,3.67,2026/07/31
holding,NEXTERA ENERGY INC,2.98,2026/07/31
holding,TRANE TECHNOLOGIES P,2.96,2026/07/31
holding,XYLEM INC,2.77,2026/07/31
holding,BROADCOM INC,2.52,2026/07/31
holding,AIR LIQUIDE SA,2.51,2026/07/31
holding,IBERDROLA SA,2.28,2026/07/31
holding,ARISTA NETWORKS INC,2.14,2026/07/31
holding,WASTE MANAGEMENT INC,2.1,2026/07/31
