kind,name,weight,data_date
industry,資訊科技,66.2,2026/07/31
industry,工業,12.3,2026/07/31
industry,原材料,11.7,2026/07/31
industry,通訊服務,5.1,2026/07/31
industry,現金,2.1,2026/07/31
industry,金融,1.9,2026/07/31
industry,公用事業,0.8,2026/07/31
holding,台積電,12.84,2026/07/31
holding,鴻海,8.31,2026/07/31
holding,台達電,6.76,2026/07/31
holding,南亞,4.97,2026/07/31
holding,聯發科,4.24,2026/07/31
holding,緯創,3.88,2026/07/31
holding,光寶科,3.28,2026/07/31
holding,中華電,3.26,2026/07/31
holding,旺矽,3.07,2026/07/31
holding,貿聯-KY,2.51,2026/07/31
