kind,name,weight,data_date
industry,綜合性石油與天然氣企業,20.03,2026/07/31
industry,紙材料包裝,16.57,2026/07/31
industry,多種金屬與採礦,14.81,2026/07/31
industry,黃金與貴金屬,13.12,2026/07/31
industry,化肥與農用藥劑,11.18,2026/07/31
industry,石油與天然氣開採與生產,8.42,2026/07/31
industry,農產品,4.19,2026/07/31
industry,石油與天然氣煉製與行銷,2.96,2026/07/31
industry,現金,2.38,2026/07/31
industry,石油與天然氣設備與服務,2.37,2026/07/31
industry,鋼鐵業,2.1,2026/07/31
industry,包裝食品,1.89,2026/07/31
holding,NUTRIEN LTD,5.9,2026/07/31
holding,SHELL PLC,5.7,2026/07/31
holding,EXXONMOBIL HLDGS CORP,4.62,2026/07/31
holding,NEWMONT GOLDCORP,4.16,2026/07/31
holding,ANGLO AMER PLC,3.73,2026/07/31
holding,CHEVRON CORP,3.38,2026/07/31
holding,SMURFIT WESTROCL PLC,3.3,2026/07/31
holding,RIO TINTO PLC,2.93,2026/07/31
holding,CORTEVA INC,2.85,2026/07/31
holding,OVINTIV INC,2.81,2026/07/31
