kind,name,weight,data_date
industry,資訊技術,57.4,2026/07/31
industry,原材料,31.33,2026/07/31
industry,工業,6.79,2026/07/31
industry,流動資產,2.53,2026/07/31
industry,其他,1.94,2026/07/31
holding,INFINEON TECHNOLOGIES AG-DEU,6.42,2026/07/31
holding,FREEPORT-MCMORAN INC-USA,5.78,2026/07/31
holding,LUNDIN MINING CORP-CAN,5.69,2026/07/31
holding,FARADAY COPPER CORP-CAN,5.03,2026/07/31
holding,MURATA MANUFACTURING CO LTD-JPN,4.49,2026/07/31
holding,SK HYNIX INC-KOR,4.19,2026/07/31
holding,CORNING INC-USA,3.76,2026/07/31
holding,RENESAS ELECTRONICS CORP-JPN,3.54,2026/07/31
holding,ANTOFAGASTA PLC-GBR,3.53,2026/07/31
holding,BLOOM ENERGY CORP- A-USA,3.46,2026/07/31
