kind,name,weight,data_date
industry,原物料ETF,39.65,2026/07/31
industry,主題型ETF,24.21,2026/07/31
industry,能源ETF,15.03,2026/07/31
industry,商品及能源股票基金,11.62,2026/07/31
industry,約當現金,9.49,2026/07/31
holding,State Street SPDR標普金屬與礦產業ETF,11.73,2026/07/31
holding,Invesco WilderHill乾淨能源ETF,10.6,2026/07/31
holding,iShares北美天然資源ETF,9.91,2026/07/31
holding,Global X銀礦ETF,9.31,2026/07/31
holding,First Trust納斯達克Clean Edge清潔綠能指數ETF,8.66,2026/07/31
holding,Amplify小型銀礦ETF,8.42,2026/07/31
holding,摩根基金-環球天然資源基金A股(歐元)(分派)(本基金之配息來源可能為本金),6.86,2026/07/31
holding,Global X銅礦ETF,6.82,2026/07/31
holding,Range核復興指數ETF,6.37,2026/07/31
holding,富蘭克林坦伯頓全球投資系列天然資源基金美元A(acc),4.76,2026/07/31
