kind,name,weight,data_date
industry,生物科技,65.85,2026/07/31
industry,製藥,20.36,2026/07/31
industry,約當現金,5.8,2026/07/31
industry,生命科學工具與服務,2.69,2026/07/31
industry,管理型保健護理,1.85,2026/07/31
industry,醫療保健設備,1.77,2026/07/31
industry,半導體,1.68,2026/07/31
holding,ELI LILLY & CO,6.92,2026/07/31
holding,Jazz Pharmaceuticals Plc,5.87,2026/07/31
holding,VERTEX PHARMACEUTICALS INC,4.68,2026/07/31
holding,ARGENX SE - ADR,4.57,2026/07/31
holding,ASTRAZENECA PLC,4.09,2026/07/31
holding,REVOLUTION MEDICINES INC,3.97,2026/07/31
holding,NEUROCRINE BIOSCIENCES INC,3.85,2026/07/31
holding,GILEAD SCIENCES INC,3.49,2026/07/31
holding,MERCK & CO. INC.,3.49,2026/07/31
holding,AMGEN INC,2.92,2026/07/31
