kind,name,weight,data_date
industry,金融,28.3,2026/07/31
industry,公用事業,22.6,2026/07/31
industry,能源,12.0,2026/07/31
industry,原物料,10.3,2026/07/31
industry,工業,9.6,2026/07/31
industry,非必需性消費,6.4,2026/07/31
industry,消費必需品,3.9,2026/07/31
industry,不動產,2.5,2026/07/31
industry,其他,2.5,2026/07/31
industry,流動資產,1.7,2026/07/31
holding,PEPETROLEO BRAS-PR,8.89,2026/07/31
holding,ITAU UNIBANCO HOLDING SA,8.56,2026/07/31
holding,BANCO BRADESCO-PREF,5.65,2026/07/31
holding,ITAUSA-INVESTIMENTOS ITAU-PR,4.81,2026/07/31
holding,AXIA ENERGIA,4.26,2026/07/31
holding,BANCO BTG PACTUAL SA-UNIT,4.23,2026/07/31
holding,CIA SANEAMENTO BASICO DE SP,4.06,2026/07/31
holding,VALE SA,4.04,2026/07/31
holding,BRADESPAR SA -PREF,3.96,2026/07/31
holding,EQUATORIAL ENERGIA SA - ORD,3.92,2026/07/31
