kind,name,weight,data_date
industry,其他,29.0,2026/07/31
industry,公司債,19.4,2026/07/31
industry,銀行,9.4,2026/07/31
industry,電氣設備,8.5,2026/07/31
industry,金融債,6.1,2026/07/31
industry,電子設備、儀器與零件,5.7,2026/07/31
industry,機械製造,4.9,2026/07/31
industry,飲品,4.4,2026/07/31
industry,保險,3.9,2026/07/31
industry,資本市場,3.4,2026/07/31
industry,金屬與採礦,3.2,2026/07/31
industry,流動性資產,2.3,2026/07/31
holding,CONTEMPORARY AMPEREX TECHN SZHK,5.69,2026/07/31
holding,KWEICHOW MOUTAI CO LTD A SHARES,4.41,2026/07/31
holding,CHINA MERCHANTS BANK CO LTD A SHS,4.4,2026/07/31
holding,CHINA CONSTRUCTION BANK H SHS,3.11,2026/07/31
holding,PING AN INSURANCE GROUP CO A SHS,3.09,2026/07/31
holding,LUXSHARE PRECISION INDUSTR-A,3.01,2026/07/31
holding,MIDEA GROUP CO LTD-A,2.35,2026/07/31
holding,ZIJIN MINING GROUP CO LTD- CC,2.31,2026/07/31
holding,ASMPT LIMITED,2.19,2026/07/31
holding,TENCENT HLDGS LTD,2.09,2026/07/31
