kind,name,weight,data_date
industry,半導體業,30.7,2026/07/31
industry,金融保險業,17.1,2026/07/31
industry,電子零組件業,16.9,2026/07/31
industry,電腦及週邊設備業,9.4,2026/07/31
industry,其他(當地指數分類),8.8,2026/07/31
industry,通信網路業,4.3,2026/07/31
industry,流動性資產,3.6,2026/07/31
industry,塑膠工業,2.9,2026/07/31
industry,其他,2.8,2026/07/31
industry,光電業,1.7,2026/07/31
industry,航運業,0.9,2026/07/31
industry,食品工業,0.8,2026/07/31
holding,台積電,8.98,2026/07/31
holding,聯發科,7.96,2026/07/31
holding,台達電,6.08,2026/07/31
holding,鴻海,5.29,2026/07/31
holding,日月光投控,4.0,2026/07/31
holding,台光電,3.09,2026/07/31
holding,聯電,2.74,2026/07/31
holding,中信金,2.58,2026/07/31
holding,智邦,2.48,2026/07/31
holding,國泰金,2.19,2026/07/31
