kind,name,weight,data_date
industry,金融,20.9,2026/07/31
industry,能源,13.4,2026/07/31
industry,通訊服務,13.0,2026/07/31
industry,公用事業,10.1,2026/07/31
industry,其他,10.0,2026/07/31
industry,資訊科技,8.6,2026/07/31
industry,工業,7.8,2026/07/31
industry,不動產,7.5,2026/07/31
industry,消費必需品,5.3,2026/07/31
industry,流動資產,3.3,2026/07/31
holding,PTT PCL-NVDR,9.11,2026/07/31
holding,GULF DEVELOPMENT PCL-NVDR,8.61,2026/07/31
holding,KRUNG THAI BANK - NVDR,8.59,2026/07/31
holding,ADVANCED INFO SERVICE-NVDR,8.59,2026/07/31
holding,DELTA ELECTRONICS THAI-NVDR,6.87,2026/07/31
holding,AIRPORTS OF THAILAND PC-NVDR,6.47,2026/07/31
holding,KASIKORNBANK PCL-NVDR,5.79,2026/07/31
holding,SIAM COMMERCIAL BANK P-NVDR,5.72,2026/07/31
holding,TRUE CORP PCL/NEW-NVDR,4.46,2026/07/31
holding,CP ALL PCL-NVDR,4.19,2026/07/31
