kind,name,weight,data_date
industry,半導體,50.21,2026/07/31
industry,電子零組件,22.33,2026/07/31
industry,其他電子業,12.26,2026/07/31
industry,電腦及週邊設備,11.1,2026/07/31
industry,電機機械,2.92,2026/07/31
industry,通信網路業,0.59,2026/07/31
industry,光電業,0.58,2026/07/31
holding,台積電,9.81,2026/07/31
holding,聯發科,7.12,2026/07/31
holding,貿聯-KY,5.65,2026/07/31
holding,致茂,5.09,2026/07/31
holding,緯穎,5.09,2026/07/31
holding,台達電,4.53,2026/07/31
holding,創意,4.31,2026/07/31
holding,聯電,4.28,2026/07/31
holding,健策,4.07,2026/07/31
holding,力旺,4.0,2026/07/31
