kind,name,weight,data_date
industry,電子零組件,36.43,2026/07/31
industry,半導體,35.32,2026/07/31
industry,現金,9.77,2026/07/31
industry,電腦及週邊,7.34,2026/07/31
industry,通信網路業,5.7,2026/07/31
industry,其他電子業,5.32,2026/07/31
industry,電子通路業,0.12,2026/07/31
holding,台積電,9.11,2026/07/31
holding,台光電,8.92,2026/07/31
holding,欣興,6.32,2026/07/31
holding,聯發科,6.04,2026/07/31
holding,智邦,5.65,2026/07/31
holding,旺矽,5.6,2026/07/31
holding,台燿,5.14,2026/07/31
holding,南電,4.52,2026/07/31
holding,奇鋐,4.46,2026/07/31
holding,台達電,4.16,2026/07/31
