kind,name,weight,data_date
industry,上市電子零組件業,28.11,2026/07/31
industry,上市電腦及週邊設備業,16.2,2026/07/31
industry,上市半導體業,14.73,2026/07/31
industry,上市其他電子業,13.54,2026/07/31
industry,上櫃半導體業,10.16,2026/07/31
industry,上市通信網路業,7.09,2026/07/31
industry,上櫃電子零組件業,4.83,2026/07/31
industry,上櫃通信網路業,2.74,2026/07/31
holding,台光電,8.61,2026/07/31
holding,緯穎,8.43,2026/07/31
holding,奇鋐,7.77,2026/07/31
holding,致茂,7.13,2026/07/31
holding,智邦,7.09,2026/07/31
holding,欣興,6.99,2026/07/31
holding,貿聯-KY,6.42,2026/07/31
holding,旺矽,6.16,2026/07/31
holding,南電,5.25,2026/07/31
holding,台燿,4.83,2026/07/31
