kind,name,weight,data_date
industry,上市電子零組件業,37.19,2026/07/31
industry,上市半導體業,23.1,2026/07/31
industry,上市電腦及週邊設備業,12.13,2026/07/31
industry,上櫃半導體業,8.04,2026/07/31
industry,上市通信網路業,5.99,2026/07/31
industry,上市其他電子業,5.29,2026/07/31
industry,上櫃電子零組件業,2.26,2026/07/31
holding,台光電,9.65,2026/07/31
holding,台積電,9.34,2026/07/31
holding,旺矽,7.19,2026/07/31
holding,欣興,7.02,2026/07/31
holding,聯發科,6.74,2026/07/31
holding,奇鋐,6.02,2026/07/31
holding,智邦,5.99,2026/07/31
holding,健策,5.39,2026/07/31
holding,貿聯-KY,5.11,2026/07/31
holding,國巨*,4.81,2026/07/31
