kind,name,weight,data_date
industry,半導體業,44.68,2026/07/31
industry,電子零組件業,30.12,2026/07/31
industry,通信網路業,12.11,2026/07/31
industry,電腦及週邊設備業,4.66,2026/07/31
industry,化學工業,2.26,2026/07/31
industry,電機機械,1.24,2026/07/31
holding,聯亞,6.72,2026/07/31
holding,台光電,5.71,2026/07/31
holding,信驊,5.34,2026/07/31
holding,旺矽,5.3,2026/07/31
holding,奇鋐,4.66,2026/07/31
holding,南電,4.31,2026/07/31
holding,穎崴,4.28,2026/07/31
holding,環球晶,4.0,2026/07/31
holding,鴻勁,3.72,2026/07/31
holding,台燿,3.71,2026/07/31
