kind,name,weight,data_date
industry,韓國股票,37.13,2026/07/31
industry,半導體業,35.65,2026/07/31
industry,電子零組件,9.62,2026/07/31
industry,電腦及週邊,6.62,2026/07/31
industry,其他電子業,3.86,2026/07/31
industry,通信網路業,2.71,2026/07/31
industry,光電業,1.25,2026/07/31
industry,電子通路業,0.58,2026/07/31
holding,台積電,23.51,2026/07/31
holding,Samsung Electron Rg,18.44,2026/07/31
holding,SK HYNIX INC,13.13,2026/07/31
holding,聯發科,3.56,2026/07/31
holding,鴻海,2.61,2026/07/31
holding,日月光投控,2.56,2026/07/31
holding,台光電,2.04,2026/07/31
holding,台達電,2.02,2026/07/31
holding,聯電,1.88,2026/07/31
holding,Samsung Electro-Mech Co,1.7,2026/07/31
