kind,name,weight,data_date
industry,資訊技術,76.78,2026/07/31
industry,通訊服務,13.58,2026/07/31
industry,醫療保健,1.92,2026/07/31
industry,工業,0.87,2026/07/31
industry,非核心消費,0.74,2026/07/31
industry,能源,0.48,2026/07/31
industry,金融,0.44,2026/07/31
holding,艾司摩爾控股公司,5.94,2026/07/31
holding,愛思開海力士公司,5.15,2026/07/31
holding,台積電,5.14,2026/07/31
holding,Microsoft Corp,5.13,2026/07/31
holding,蘋果公司,4.98,2026/07/31
holding,美光科技公司,4.94,2026/07/31
holding,BROADCOM INC,4.37,2026/07/31
holding,Meta平台公司,4.34,2026/07/31
holding,輝達,4.26,2026/07/31
holding,ALPHABET 公司,4.23,2026/07/31
