kind,name,weight,data_date
industry,金融,26.8,2026/07/31
industry,工業,20.87,2026/07/31
industry,資訊科技,13.32,2026/07/31
industry,非日常生活消費品,8.99,2026/07/31
industry,現金,5.43,2026/07/31
industry,日常消費品,5.23,2026/07/31
industry,醫療保健,4.9,2026/07/31
industry,能源,4.77,2026/07/31
industry,公用事業,4.41,2026/07/31
industry,原材料,3.29,2026/07/31
industry,通訊服務,1.99,2026/07/31
holding,ASML HOLDING NV,8.21,2026/07/31
holding,SIEMENS AG-REG,4.44,2026/07/31
holding,BANCO SANTANDER SA,3.88,2026/07/31
holding,TOTALENERGIES SE,3.73,2026/07/31
holding,SCHNEIDER ELECTRIC SE,3.58,2026/07/31
holding,Allianz se-reg,3.53,2026/07/31
holding,SAP SE,3.42,2026/07/31
holding,Banco Bilbao Vizcaya Argenta,2.92,2026/07/31
holding,IBERDROLA SA,2.78,2026/07/31
holding,Safran SA,2.68,2026/07/31
