kind,name,weight,data_date
industry,工業,36.8,2026/06/30
industry,資訊科技,14.3,2026/06/30
industry,循環消費,12.2,2026/06/30
industry,金融,11.1,2026/06/30
industry,民生消費,9.9,2026/06/30
industry,原物料,8.8,2026/06/30
industry,房地產,5.2,2026/06/30
industry,醫療保健,1.2,2026/06/30
industry,其他,0.8,2026/06/30
holding,KRAFTIA CORP,4.5,2026/06/30
holding,HACHIJUNI BANK LTD/THE,4.4,2026/06/30
holding,YOKOHAMA FINANCIAL GROUP INC,3.8,2026/06/30
holding,MARUZEN SHOWA UNYU CO LTD,3.6,2026/06/30
holding,OPEN UP GROUP INC,3.4,2026/06/30
holding,CARLIT CO LTD,3.2,2026/06/30
holding,MISUMI GROUP INC,3.1,2026/06/30
holding,SANKI ENGINEERING CO LTD,2.9,2026/06/30
holding,LION CORP,2.6,2026/06/30
holding,MACNICA HOLDINGS INC,2.6,2026/06/30
