kind,name,weight,data_date
industry,工業,30.81,2026/06/30
industry,資訊科技,17.3,2026/06/30
industry,金融,11.29,2026/06/30
industry,健康醫療,9.86,2026/06/30
industry,消費性耐久財,9.38,2026/06/30
industry,能源,7.77,2026/06/30
industry,原物料,5.78,2026/06/30
industry,現金及約當現金,4.15,2026/06/30
industry,通訊服務,3.64,2026/06/30
industry,民生消費,0.03,2026/06/30
holding,水星系統(美國 工業) Mercury Systems,0.97,2026/06/30
holding,獅門影業(美國 通訊服務) LIONSGATE STUDIOS USD NPV,0.95,2026/06/30
holding,梅維爾工程(美國 工業) MAYVILLE ENGINEER USD NPV,0.94,2026/06/30
holding,"前進汽車零件公司(美國 消費耐久財) Advance Auto Parts, Inc.",0.91,2026/06/30
holding,(美國 工業) Orion Group Holdings Inc,0.9,2026/06/30
holding,超乾淨控股公司(美國 半導體及半導體設備) Ultra Clean Holdings,0.88,2026/06/30
holding,(美國 能源) Select Water Solutions Inc,0.85,2026/06/30
holding,Cohu公司(美國 半導體及半導體設備) Cohu Inc.,0.84,2026/06/30
holding,(美國 原物料) Materion Corp.,0.79,2026/06/30
holding,希柯環境公司(美國 工業) CECO Environmental Corp,0.78,2026/06/30
