kind,name,weight,data_date
industry,資訊科技,52.1,2026/06/30
industry,金融,15.9,2026/06/30
industry,通訊服務,9.5,2026/06/30
industry,非消費必需品,7.5,2026/06/30
industry,工業,5.2,2026/06/30
industry,健康護理,3.1,2026/06/30
industry,原物料,2.4,2026/06/30
industry,房地產,1.7,2026/06/30
industry,公用事業,0.7,2026/06/30
holding,"Taiwan Semiconductor Manufacturing,,",10.2,2026/06/30
holding,"MediaTek,,",7.5,2026/06/30
holding,"Tencent Holdings,,",6.8,2026/06/30
holding,"Delta Electronics,,",5.1,2026/06/30
holding,"ASE Technology Holding,,",4.5,2026/06/30
holding,"Alibaba Group Holding,,",4.0,2026/06/30
holding,"China Construction Bank,,",2.5,2026/06/30
holding,"AIA Group,,",2.3,2026/06/30
holding,"Elite Material,,",2.3,2026/06/30
holding,"Hon Hai Precision Industry,,",2.3,2026/06/30
