kind,name,weight,data_date
industry,資訊科技,25.8,2026/06/30
industry,工業,17.4,2026/06/30
industry,金融,16.8,2026/06/30
industry,非消費必需品,13.0,2026/06/30
industry,健康護理,9.9,2026/06/30
industry,原物料,8.3,2026/06/30
industry,通訊服務,3.9,2026/06/30
industry,消費必需品,1.6,2026/06/30
industry,能源,1.3,2026/06/30
holding,"ORIX,,",5.2,2026/06/30
holding,"Keyence,,",5.1,2026/06/30
holding,"Sumitomo Mitsui Financial Group,,",4.7,2026/06/30
holding,"Hoya,,",4.4,2026/06/30
holding,"Mizuho Financial Group,,",4.3,2026/06/30
holding,"SMC,,",4.0,2026/06/30
holding,"Oriental Land/Japan,,",3.8,2026/06/30
holding,"East Japan Railway Co,,",3.8,2026/06/30
holding,"Yokogawa Electric,,",3.8,2026/06/30
holding,"Shin-Etsu Chemical,,",3.8,2026/06/30
