kind,name,weight,data_date
industry,工業,25.99,2026/06/30
industry,資訊科技,21.99,2026/06/30
industry,原物料,16.27,2026/06/30
industry,非核心消費商品,11.3,2026/06/30
industry,金融,7.85,2026/06/30
industry,健康護理,4.92,2026/06/30
industry,現金,4.76,2026/06/30
industry,核心消費商品,4.14,2026/06/30
industry,通訊服務,1.42,2026/06/30
industry,能源,0.94,2026/06/30
industry,房地產,0.35,2026/06/30
industry,外匯合約,0.06,2026/06/30
holding,TOKUYAMA CORP,2.27,2026/06/30
holding,NISSHINBO HOLDINGS INC,2.11,2026/06/30
holding,TSUGAMI CORP,2.06,2026/06/30
holding,MEIDENSHA CORP,1.81,2026/06/30
holding,YAMAICHI ELECTRONICS LTD,1.64,2026/06/30
holding,LINTEC CORP,1.59,2026/06/30
holding,FUSO CHEMICAL LTD,1.56,2026/06/30
holding,CITIZEN WATCH LTD,1.55,2026/06/30
holding,DAIHEN CORP,1.36,2026/06/30
holding,SHIKOKU KASEI HOLDINGS CORP,1.29,2026/06/30
