kind,name,weight,data_date
industry,金融,99.8,2026/06/30
industry,通訊服務,0.2,2026/06/30
industry,未分類,0.0,2026/06/30
holding,"JPMORGAN CHASE & CO,金融",9.08,2026/06/30
holding,"BERKSHIRE HATHAWAY INC DEL,金融",6.07,2026/06/30
holding,"DBS GROUP HLDGS LTD,金融",4.07,2026/06/30
holding,"INTERACTIVE BROKERS GROUP INC,金融",3.95,2026/06/30
holding,"ALLIANZ SE,金融",3.87,2026/06/30
holding,"WELLS FARGO & CO NEW,金融",3.85,2026/06/30
holding,"MIZUHO FINL GROUP INC,金融",3.74,2026/06/30
holding,"MORGAN STANLEY,金融",3.7,2026/06/30
holding,"VISA INC,金融",3.43,2026/06/30
holding,"ROYAL BANK OF CANADA,金融",3.38,2026/06/30
