kind,name,weight,data_date
industry,綜合石油及天然氣,19.3,2026/06/30
industry,肥料與農用化學品,16.7,2026/06/30
industry,其他,12.7,2026/06/30
industry,黃金,11.9,2026/06/30
industry,多元化金屬與礦業,10.1,2026/06/30
industry,石油及天然氣探勘及生產,9.0,2026/06/30
industry,石油與天然氣儲藏及運輸,7.5,2026/06/30
industry,石油及天然氣設備及服務,5.0,2026/06/30
industry,鋁,3.9,2026/06/30
industry,鋼鐵,3.9,2026/06/30
holding,Chevron Corp,7.8,2026/06/30
holding,Nutrien Ltd,5.2,2026/06/30
holding,Glencore Plc,4.9,2026/06/30
holding,Exxon Mobil Corp,4.8,2026/06/30
holding,Corteva Inc,4.6,2026/06/30
holding,ConocoPhillips,3.8,2026/06/30
holding,Totalenergies SE,3.8,2026/06/30
holding,The Williams Companies Inc,3.6,2026/06/30
holding,Rio Tinto Plc,3.3,2026/06/30
holding,Valero Energy Corp,3.1,2026/06/30
