kind,name,weight,data_date
industry,工業,25.3,2026/07/31
industry,金融,15.6,2026/07/31
industry,景氣循環性消費,15.4,2026/07/31
industry,資訊科技,12.7,2026/07/31
industry,醫療保健,9.8,2026/07/31
industry,原物料,9.1,2026/07/31
industry,民生必需品消費,5.1,2026/07/31
industry,通訊服務,3.3,2026/07/31
industry,其他,2.5,2026/07/31
industry,現金與約當現金,1.2,2026/07/31
holding,SUMITOMO MITSUI FINANCIAL GROUP INC,4.6,2026/07/31
holding,MIZUHO FINANCIAL GROUP INC,4.5,2026/07/31
holding,RESONA HOLDINGS INC,4.3,2026/07/31
holding,OLYMPUS CORP,4.2,2026/07/31
holding,SEVEN & I HOLDINGS CO LTD,3.7,2026/07/31
holding,TOYOTA MOTOR CORPORATION,3.6,2026/07/31
holding,PANASONIC HOLDINGS CORP,3.4,2026/07/31
holding,DENTSU GROUP INC,3.3,2026/07/31
holding,KUBOTA CORPORATION,3.3,2026/07/31
holding,SHIMANO INC.,3.0,2026/07/31
