kind,name,weight,data_date
industry,電器產品及電子產品,35.9,2026/06/30
industry,其他金融,20.3,2026/06/30
industry,運輸設備及零件,9.0,2026/06/30
industry,化學,7.2,2026/06/30
industry,其他,6.3,2026/06/30
industry,分銷,6.0,2026/06/30
industry,製藥,3.9,2026/06/30
industry,機械及設備,3.8,2026/06/30
industry,保險,2.6,2026/06/30
industry,資訊服務,2.0,2026/06/30
industry,製造業,1.7,2026/06/30
industry,流動資金,1.2,2026/06/30
holding,"Samsung Electronics,電器產品及電子產品,南韓",10.2,2026/06/30
holding,"SK hynix,電器產品及電子產品,南韓",10.0,2026/06/30
holding,"SK Square Co,其他金融,南韓",8.8,2026/06/30
holding,"Samsung Electro-Mechanics,電器產品及電子產品,南韓",6.3,2026/06/30
holding,"SAMSUNG C&T,分銷,南韓",5.0,2026/06/30
holding,"SK,其他金融,南韓",3.9,2026/06/30
holding,"Shinhan Financial Group,其他金融,南韓",2.7,2026/06/30
holding,"HD Hyundai Heavy Industries,運輸設備及零件,南韓",2.4,2026/06/30
holding,"KB Financial Group,其他金融,南韓",2.2,2026/06/30
holding,"Hyundai Motor Co /KR,運輸設備及零件,南韓",2.1,2026/06/30
