kind,name,weight,data_date
industry,科技,61.56,2026/07/31
industry,工業,16.61,2026/07/31
industry,金融,7.33,2026/07/31
industry,週期性消費,5.88,2026/07/31
industry,非週期性消費,3.54,2026/07/31
industry,基金,2.31,2026/07/31
industry,公用事業,1.03,2026/07/31
industry,通訊,0.9,2026/07/31
industry,其他,0.59,2026/07/31
industry,現金及其等價物,0.26,2026/07/31
holding,SK HYNIX INC,19.42,2026/07/31
holding,SAMSUNG ELECTRONICS CO LTD,11.54,2026/07/31
holding,SAMSUNG ELECTRONIC COMPANY LIMITED PREFERENCE SHARES,11.06,2026/07/31
holding,SK SQUARE CO LTD,8.85,2026/07/31
holding,SAMSUNG ELECTRO-MECHANICS COMPANY LIMITED,6.51,2026/07/31
holding,SAMSUNG C&T CORP,5.07,2026/07/31
holding,LION GLOBAL INVESTORS LTD - LIONGLOBAL SGD LIQUIDITY FUND,2.31,2026/07/31
holding,HANWHA AEROSPACE CO LTD,2.17,2026/07/31
holding,D'ALBA GLOBAL CO LTD,1.96,2026/07/31
holding,SAMSUNG LIFE INSURANCE CO LTD,1.96,2026/07/31
