kind,name,weight,data_date
industry,工業,25.57,2026/07/31
industry,金融,18.56,2026/07/31
industry,科技,14.05,2026/07/31
industry,週期性消費,13.87,2026/07/31
industry,非週期性消費,8.12,2026/07/31
industry,現金及其等價物,5.84,2026/07/31
industry,通訊,5.05,2026/07/31
industry,基本物料,4.39,2026/07/31
industry,其他,2.94,2026/07/31
industry,不動產投資信託,1.63,2026/07/31
holding,MITSUBISHI UFJ FINANCIAL GROUP INC,3.64,2026/07/31
holding,TOYOTA MOTOR CORP,2.87,2026/07/31
holding,HITACHI LTD,2.61,2026/07/31
holding,SONY GROUP CORP,2.45,2026/07/31
holding,SUMITOMO MITSUI FINANCIAL GROUP INC,2.32,2026/07/31
holding,MIZUHO FINANCIAL GR INC,2.05,2026/07/31
holding,TOKYO ELECTRON LTD,2.03,2026/07/31
holding,RECRUIT HOLDINGS CO LTD,1.89,2026/07/31
holding,ADVANTEST CORPORATION,1.74,2026/07/31
holding,MURATA MANUFACTURING CO LTD,1.64,2026/07/31
