kind,name,weight,data_date
industry,金融,23.67,2026/06/30
industry,資訊科技,21.49,2026/06/30
industry,工業,14.95,2026/06/30
industry,循環消費,14.42,2026/06/30
industry,通訊服務,9.51,2026/06/30
industry,醫療保健,4.16,2026/06/30
industry,原物料,3.68,2026/06/30
industry,其他,3.45,2026/06/30
industry,民生消費,3.11,2026/06/30
industry,現金,1.56,2026/06/30
holding,Tencent Holdings Ltd,9.51,2026/06/30
holding,Alibaba Group Holding Limited,7.3,2026/06/30
holding,China Construction Bank Corporation,4.79,2026/06/30
holding,AIA Group Limited,4.49,2026/06/30
holding,Kingboard Laminates Holdings Limited,4.38,2026/06/30
holding,"Suzhou Recodeal Interconnect System Co., Ltd.",3.77,2026/06/30
holding,Hong Kong Exchanges & Clearing Ltd.,3.07,2026/06/30
holding,"Ping An Insurance (Group) Company of China, Ltd.",2.47,2026/06/30
holding,Hua Hong Grace Semiconductor Limited,2.43,2026/06/30
holding,Bank of China Limited,2.16,2026/06/30
