kind,name,weight,data_date
industry,工業,24.1,2026/06/30
industry,資訊科技,22.1,2026/06/30
industry,金融,16.9,2026/06/30
industry,非必需消費品,15.1,2026/06/30
industry,通訊服務,6.6,2026/06/30
industry,必需消費品,5.9,2026/06/30
industry,房地產,3.9,2026/06/30
industry,原物料,2.6,2026/06/30
industry,醫療保健,2.2,2026/06/30
industry,現金及約當現金,0.5,2026/06/30
holding,Mitsubishi UFJ,5.5,2026/06/30
holding,Sony,4.4,2026/06/30
holding,Tokyo Electron,3.7,2026/06/30
holding,Toyota,3.7,2026/06/30
holding,Recruit Holdings,3.7,2026/06/30
holding,Softbank Group,3.6,2026/06/30
holding,Mitsui,3.2,2026/06/30
holding,Orix Corporation,2.9,2026/06/30
holding,Hitachi,2.9,2026/06/30
holding,Kioxia Holdings,2.7,2026/06/30
