kind,name,weight,data_date
industry,工業,25.08,2026/06/30
industry,非核心消費商品,19.18,2026/06/30
industry,資訊科技,15.79,2026/06/30
industry,金融,14.62,2026/06/30
industry,通訊服務,6.62,2026/06/30
industry,房地產,4.21,2026/06/30
industry,原物料,4.05,2026/06/30
industry,核心消費商品,4.05,2026/06/30
industry,現金,2.23,2026/06/30
industry,能源,1.58,2026/06/30
industry,健康護理,1.51,2026/06/30
industry,其他,0.98,2026/06/30
industry,外匯合約,0.11,2026/06/30
holding,MITSUBISHI UFJ FINANCIAL GROUP,5.03,2026/06/30
holding,PANASONIC HOLDINGS CORP,4.37,2026/06/30
holding,MITSUBISHI ESTATE LTD,4.21,2026/06/30
holding,MIZUHO FINANCIAL GROUP INC,3.38,2026/06/30
holding,TOHO (TOKYO) LTD,3.33,2026/06/30
holding,MURATA MANUFACTURING LTD,3.3,2026/06/30
holding,SONY GROUP CORP,3.27,2026/06/30
holding,HITACHI LTD,3.2,2026/06/30
holding,TOYOTA MOTOR CORP,2.92,2026/06/30
holding,TOYOTA TSUSHO CORP,2.88,2026/06/30
