kind,name,weight,data_date
industry,發炎及免疫醫學,21.18,2026/07/31
industry,罕見疾病藥物,19.93,2026/07/31
industry,中樞神經系統,17.94,2026/07/31
industry,腫瘤疾病治療,16.55,2026/07/31
industry,新興科技,9.92,2026/07/31
industry,代謝疾病,9.74,2026/07/31
industry,抗感染藥物,3.33,2026/07/31
industry,現金及約當現金,1.41,2026/07/31
holding,Argenx Se,4.38,2026/07/31
holding,Revolution Medicines Inc,4.32,2026/07/31
holding,Insmed Inc,3.95,2026/07/31
holding,RoiVant Sciences Ltd,3.45,2026/07/31
holding,Bridgebio Pharma Inc,3.45,2026/07/31
holding,Biogen Inc,3.44,2026/07/31
holding,Vertex Pharmaceuticals Inc,3.31,2026/07/31
holding,United Therapeutics Corp,3.27,2026/07/31
holding,Amgen Inc,3.17,2026/07/31
holding,Cytokinetics Inc,2.86,2026/07/31
