kind,name,weight,data_date
industry,資訊科技,41.5,2026/07/31
industry,工業製造,22.6,2026/07/31
industry,非民生必需品,15.1,2026/07/31
industry,金融,6.9,2026/07/31
industry,材料,6.9,2026/07/31
industry,通訊服務,4.7,2026/07/31
industry,民生必需品,1.0,2026/07/31
industry,其他,0.7,2026/07/31
industry,健康護理,0.5,2026/07/31
industry,能源,0.0,2026/07/31
industry,房地產,0.0,2026/07/31
industry,公用事業,0.0,2026/07/31
holding,WIWYNN CORP 0.0000 CONV 01/04/2031 SERIES CORP,4.5,2026/07/31
holding,MIDEA INVESTMENT DEVELOPMENT COMPA 0.0000 CONV 13/05/2033 SERIES 2,4.0,2026/07/31
holding,HD KOREA SHIPBUILDING & OFFSHORE E 0.0000 CONV 04/05/2031 SERIES CORP,3.7,2026/07/31
holding,ALIBABA GROUP HOLDING LTD 0.5000 CONV 01/06/2031 SERIES CORP,3.4,2026/07/31
holding,GOLDMAN SACHS FINANCE CORP INTERNA 0.0000 CONV 29/01/2029 SERIES **,3.4,2026/07/31
holding,KCC CORP 1.7500 CONV 10/07/2030 SERIES CORP,3.3,2026/07/31
holding,MORGAN STANLEY FIN LLC 0.0000 CONV 21/03/2028 SERIES 0001,3.3,2026/07/31
holding,WISTRON CORPORATION 0.0000 CONV 23/10/2030 SERIES CORP,3.2,2026/07/31
holding,WIWYNN CORP 0.0000 CONV 17/07/2029 SERIES CORP,3.2,2026/07/31
holding,BAIDU INC 0.0000 CONV 12/03/2032 SERIES CORP,3.1,2026/07/31
