kind,name,weight,data_date
industry,其他,20.2,2026/07/31
industry,化學,12.4,2026/07/31
industry,電器,11.7,2026/07/31
industry,銀行,7.6,2026/07/31
industry,機器,7.5,2026/07/31
industry,保險,6.7,2026/07/31
industry,運輸設備,6.3,2026/07/31
industry,資訊與通訊,5.7,2026/07/31
industry,零售貿易,5.4,2026/07/31
industry,批發貿易,5.2,2026/07/31
industry,其他融資業務,3.9,2026/07/31
industry,橡膠產品,3.9,2026/07/31
industry,房地產,3.5,2026/07/31
holding,Sumitomo Mitsui Financial Group Inc,4.9,2026/07/31
holding,T&D Holdings Inc,4.5,2026/07/31
holding,C Uyemura & Co Ltd,3.4,2026/07/31
holding,ORIX Corp,3.3,2026/07/31
holding,Yokohama Rubber Co Ltd/The,2.8,2026/07/31
holding,TDK Corp,2.3,2026/07/31
holding,Tokio Marine Holdings Inc,2.2,2026/07/31
holding,Suzuki Motor Corp,2.2,2026/07/31
holding,Shikoku Kasei Holdings Corp,2.2,2026/07/31
holding,Starts Corp Inc,2.1,2026/07/31
