kind,name,weight,data_date
industry,金融,25.0,2026/06/30
industry,科技,20.7,2026/06/30
industry,非民生必需品,19.3,2026/06/30
industry,工業製造,10.9,2026/06/30
industry,健康護理,7.3,2026/06/30
industry,基礎材料,5.8,2026/06/30
industry,房地產,5.8,2026/06/30
industry,電子通訊,1.5,2026/06/30
industry,流動資產,1.3,2026/06/30
industry,民生必需品,1.2,2026/06/30
industry,能源,0.8,2026/06/30
industry,其他,0.6,2026/06/30
industry,公用事業,0.0,2026/06/30
holding,Tencent Holdings Ltd,9.0,2026/06/30
holding,Alibaba Group Holding Ltd,6.9,2026/06/30
holding,Standard Chartered PLC,5.3,2026/06/30
holding,AIA Group Ltd,4.0,2026/06/30
holding,BOC Hong Kong Holdings Ltd,3.2,2026/06/30
holding,Ping An Insurance Group Co of China Ltd,3.0,2026/06/30
holding,Industrial & Commercial Bank of China Ltd,2.9,2026/06/30
holding,NetEase Inc,2.7,2026/06/30
holding,HSBC Holdings PLC,2.7,2026/06/30
holding,Contemporary Amperex Technology Co Ltd,2.5,2026/06/30
