kind,name,weight,data_date
industry,半導體產品與設備,47.21,2026/06/30
industry,科技硬體設備,24.51,2026/06/30
industry,軟體與服務,13.22,2026/06/30
industry,媒體和娛樂,3.93,2026/06/30
industry,電訊,3.54,2026/06/30
industry,資本財,2.14,2026/06/30
industry,現金及衍生性商品,1.86,2026/06/30
industry,非必需消費品,1.54,2026/06/30
industry,汽車與零件,1.17,2026/06/30
industry,原物料,0.73,2026/06/30
industry,其他,0.16,2026/06/30
holding,SK HYNIX INC,6.79,2026/06/30
holding,NVIDIA CORP,6.69,2026/06/30
holding,BROADCOM INC,5.7,2026/06/30
holding,SAMSUNG ELECTRONICS LTD,5.49,2026/06/30
holding,LAM RESEARCH CORP,5.23,2026/06/30
holding,APPLE INC,4.71,2026/06/30
holding,TAIWAN SEMICONDUCTOR MANUFACTURING,4.6,2026/06/30
holding,ADVANCED MICRO DEVICES INC,4.46,2026/06/30
holding,INTEL CORPORATION,3.52,2026/06/30
holding,ALPHABET INC CLASS A,3.19,2026/06/30
