kind,name,weight,data_date
industry,銀行,55.59,2026/06/30
industry,資本市場,16.95,2026/06/30
industry,消費金融,11.36,2026/06/30
industry,金融服務,8.92,2026/06/30
industry,現金及衍生性商品,2.84,2026/06/30
industry,房地產管理與開發,1.86,2026/06/30
industry,保險,1.79,2026/06/30
industry,資訊科技服務,0.81,2026/06/30
industry,抵押型不動產投資信託(Mortga...,0.0,2026/06/30
industry,其他,0.0,2026/06/30
holding,BANK OF AMERICA CORP,6.92,2026/06/30
holding,CITIGROUP INC,5.78,2026/06/30
holding,UBS GROUP AG,3.32,2026/06/30
holding,CAPITAL ONE FINANCIAL CORP,3.23,2026/06/30
holding,BNP PARIBAS SA,3.16,2026/06/30
holding,CHARLES SCHWAB CORP,3.04,2026/06/30
holding,CITIZENS FINANCIAL GROUP INC,2.82,2026/06/30
holding,STANDARD CHARTERED PLC,2.65,2026/06/30
holding,POPULAR INC,2.61,2026/06/30
holding,SOCIETE GENERALE SA,2.6,2026/06/30
