kind,name,weight,data_date
industry,金融,31.29,2026/06/30
industry,非必需消費,15.4,2026/06/30
industry,通訊服務,13.12,2026/06/30
industry,資訊科技,10.99,2026/06/30
industry,工業,9.63,2026/06/30
industry,房地產,5.61,2026/06/30
industry,原物料,5.59,2026/06/30
industry,健康護理,4.69,2026/06/30
industry,能源,2.31,2026/06/30
industry,必需消費,1.36,2026/06/30
holding,"匯豐控股,金融服務,香港",9.61,2026/06/30
holding,"騰訊控股,資訊科技,香港",8.79,2026/06/30
holding,"阿里巴巴控股,資訊科技,香港",7.81,2026/06/30
holding,"中國建設銀行-H,金融,香港",4.27,2026/06/30
holding,"友邦保險,金融服務,香港",4.18,2026/06/30
holding,"香港交易所,金融服務,香港",2.88,2026/06/30
holding,"中國工商銀行-H,金融,香港",2.87,2026/06/30
holding,"中國平安保險-H,金融,香港",2.49,2026/06/30
holding,"紫金礦業-H,原物料,香港",2.21,2026/06/30
holding,"ASMPT LTD,資訊科技,香港",2.08,2026/06/30
