rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,distribution,daily_change,return_1m,return_3m,momentum_6m,return_1y,momentum_acceleration,benchmark_return_1y,excess_return_1y,sharpe,max_drawdown,recovery_days,score,signal,status,data_source,data_date
1,台灣,施羅德台灣樂活中小基金-A類型,ACES10,,EWT,否,1.32,24.12,5.47,94.07,221.15,-228.59,107.19,113.96,0.820,-24.15,9.0,4.335,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,台灣,野村鴻運基金,AC0001,,EWT,,3.69,35.95,10.45,73.85,210.06,-159.68,95.15,114.91,0.720,-27.67,11.0,3.994,買進,沿用上次資料（2026-08-26）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-26
3,台灣,統一中小基金,ACPS06-5806,,EWT,否,0.40,21.91,0.29,84.08,209.83,,93.61,116.22,0.760,-27.97,,,買進,已由243筆淨值歷史補算；持股頁暫無資料,合庫 MoneyDJ 公開網頁（爬蟲）,2026-09-01
4,台灣,合庫台灣基金-A不配息(台幣),ACCB01-9610,,EWT,,1.24,20.77,-3.32,47.22,134.82,-129.84,57.81,77.01,0.640,-27.84,,2.579,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
1,日本,瀚亞投資-日本動力股票基金,IOFA8-2824,,EWJ,,0.45,3.87,7.78,17.07,62.27,0.21,55.69,6.58,0.750,-10.85,26.0,0.955,買進,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
2,日本,安本日本永續股票基金,ANZH4-1327,,EWJ,,0.58,4.02,4.03,11.24,50.28,-0.77,55.69,-5.41,0.500,-13.16,21.0,0.595,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
3,日本,法巴日本股票基金,PAZ11-4402,,EWJ,,1.37,6.52,3.78,11.67,45.66,0.79,55.69,-10.03,0.580,-8.68,5.0,0.546,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
4,日本,法巴日本小型股票基金,FLFE9-4448,,EWJ,,1.09,5.94,1.19,6.77,48.23,1.31,55.69,-7.46,0.490,-11.00,21.0,0.518,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
5,日本,施羅德日本優勢基金,PYZL2-15D4,,EWJ,,0.47,2.77,3.58,5.89,42.67,0.41,55.69,-13.02,0.530,-10.84,26.0,0.407,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
6,日本,景順日本股票優勢基金,CTZR2-0178,,EWJ,,0.92,2.55,4.84,9.85,40.44,10.49,55.69,-15.25,0.520,-10.87,23.0,0.400,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
7,日本,利安日本增長基金,LIC39-4708,,EWJ,,0.51,3.55,4.74,7.59,39.02,-1.99,55.69,-16.67,0.530,-11.30,30.0,0.349,觀察,沿用上次資料（2026-08-25）,合庫 MoneyDJ 公開網頁（爬蟲）,2026-08-25
